"Entity","Code","Year","Death.rate.from.alzheimer.disease.and.other.dementias.among.both.sexes"
"Austria","AUT",2007,10.33
"Austria","AUT",2008,12.14
"Austria","AUT",2009,12.38
"Austria","AUT",2010,14.48
"Austria","AUT",2011,15.73
"Austria","AUT",2012,20.08
"Austria","AUT",2013,26.32
"Austria","AUT",2014,23.55
"Austria","AUT",2015,26.64
"Austria","AUT",2016,30.17
"Austria","AUT",2017,42.06
"Austria","AUT",2018,47.22
"Austria","AUT",2019,46.03
"Austria","AUT",2020,43.52
"Austria","AUT",2021,47.25
"Azerbaijan","AZE",2000,9.35
"Azerbaijan","AZE",2001,8.86
"Azerbaijan","AZE",2002,9.1
"Azerbaijan","AZE",2003,9.08
"Azerbaijan","AZE",2004,8.8
"Azerbaijan","AZE",2005,8.84
"Azerbaijan","AZE",2006,10.69
"Azerbaijan","AZE",2007,8.56
"Azerbaijan","AZE",2008,10.27
"Azerbaijan","AZE",2009,9.98
"Azerbaijan","AZE",2010,10
"Azerbaijan","AZE",2011,10
"Azerbaijan","AZE",2012,9.58
"Azerbaijan","AZE",2013,9.19
"Azerbaijan","AZE",2014,8.9
"Azerbaijan","AZE",2015,8.3
"Azerbaijan","AZE",2016,8.5
"Azerbaijan","AZE",2017,8.05
"Azerbaijan","AZE",2018,8.81
"Azerbaijan","AZE",2019,8.52
"Azerbaijan","AZE",2020,9.03
"Azerbaijan","AZE",2021,7.84
"Belarus","BLR",2000,22.89
"Belarus","BLR",2001,23.53
"Belarus","BLR",2002,23.74
"Belarus","BLR",2003,24.16
"Belarus","BLR",2004,24.44
"Belarus","BLR",2005,24.99
"Belarus","BLR",2006,25.97
"Belarus","BLR",2007,26.96
"Belarus","BLR",2008,28.05
"Belarus","BLR",2009,28.85
"Belarus","BLR",2010,30.47
"Belarus","BLR",2011,29.76
"Belarus","BLR",2012,31.93
"Belarus","BLR",2013,32.58
"Belarus","BLR",2014,32.75
"Belarus","BLR",2015,34.45
"Belarus","BLR",2016,34.69
"Belarus","BLR",2017,35.6
"Belarus","BLR",2018,37.01
"Belarus","BLR",2019,35.57
"Belarus","BLR",2020,33.98
"Belarus","BLR",2021,33.31
"Belgium","BEL",2000,36.06
"Belgium","BEL",2001,38.65
"Belgium","BEL",2002,40.47
"Belgium","BEL",2003,43.82
"Belgium","BEL",2004,40.58
"Belgium","BEL",2005,43.24
"Belgium","BEL",2006,46.34
"Belgium","BEL",2007,47.22
"Belgium","BEL",2008,52.91
"Belgium","BEL",2009,53.72
"Belgium","BEL",2010,55.54
"Belgium","BEL",2011,56.29
"Belgium","BEL",2012,66.64
"Belgium","BEL",2013,67.58
"Belgium","BEL",2014,63.56
"Belgium","BEL",2015,72.19
"Belgium","BEL",2016,69.69
"Belgium","BEL",2017,74.6
"Belgium","BEL",2018,72.73
"Belgium","BEL",2019,75.03
"Belgium","BEL",2020,69.1
"Belgium","BEL",2021,64.98
"Bosnia and Herzegovina","BIH",2000,16.03
"Bosnia and Herzegovina","BIH",2001,16.54
"Bosnia and Herzegovina","BIH",2002,17.09
"Bosnia and Herzegovina","BIH",2003,17.81
"Bosnia and Herzegovina","BIH",2004,18.76
"Bosnia and Herzegovina","BIH",2005,19.79
"Bosnia and Herzegovina","BIH",2006,20.87
"Bosnia and Herzegovina","BIH",2007,22.16
"Bosnia and Herzegovina","BIH",2008,23.19
"Bosnia and Herzegovina","BIH",2009,24.34
"Bosnia and Herzegovina","BIH",2010,25.28
"Bosnia and Herzegovina","BIH",2011,26.1
"Bosnia and Herzegovina","BIH",2012,26.95
"Bosnia and Herzegovina","BIH",2013,27.98
"Bosnia and Herzegovina","BIH",2014,29.11
"Bosnia and Herzegovina","BIH",2015,30.15
"Bosnia and Herzegovina","BIH",2016,31.24
"Bosnia and Herzegovina","BIH",2017,32.46
"Bosnia and Herzegovina","BIH",2018,33.59
"Bosnia and Herzegovina","BIH",2019,34.92
"Bosnia and Herzegovina","BIH",2020,37.04
"Bosnia and Herzegovina","BIH",2021,38.73
"Bulgaria","BGR",2000,1.59
"Bulgaria","BGR",2001,1.67
"Bulgaria","BGR",2002,1.47
"Bulgaria","BGR",2003,1.38
"Bulgaria","BGR",2004,1.32
"Bulgaria","BGR",2005,1.41
"Bulgaria","BGR",2006,1.54
"Bulgaria","BGR",2007,1.9
"Bulgaria","BGR",2008,2.27
"Bulgaria","BGR",2009,2.2
"Bulgaria","BGR",2010,2.33
"Bulgaria","BGR",2011,2.63
"Bulgaria","BGR",2012,3.51
"Bulgaria","BGR",2013,2.71
"Bulgaria","BGR",2014,2.24
"Bulgaria","BGR",2015,2.8
"Bulgaria","BGR",2016,2.52
"Bulgaria","BGR",2017,2.05
"Bulgaria","BGR",2018,2.16
"Bulgaria","BGR",2019,2.38
"Bulgaria","BGR",2020,2.54
"Bulgaria","BGR",2021,1.87
"Croatia","HRV",2000,6.21
"Croatia","HRV",2001,6.37
"Croatia","HRV",2002,6.27
"Croatia","HRV",2003,5.67
"Croatia","HRV",2004,6.83
"Croatia","HRV",2005,7.97
"Croatia","HRV",2006,9.39
"Croatia","HRV",2007,10.62
"Croatia","HRV",2008,10.9
"Croatia","HRV",2009,11.09
"Croatia","HRV",2010,14.22
"Croatia","HRV",2011,13.26
"Croatia","HRV",2012,16.44
"Croatia","HRV",2013,16.17
"Croatia","HRV",2014,18.44
"Croatia","HRV",2015,22.3
"Croatia","HRV",2016,21.24
"Croatia","HRV",2017,27.4
"Croatia","HRV",2018,28.01
"Croatia","HRV",2019,26.02
"Croatia","HRV",2020,28.78
"Croatia","HRV",2021,35.87
"Cyprus","CYP",2000,10.6
"Cyprus","CYP",2001,10.55
"Cyprus","CYP",2002,10.35
"Cyprus","CYP",2003,10.3
"Cyprus","CYP",2004,8.74
"Cyprus","CYP",2005,8.52
"Cyprus","CYP",2006,13.04
"Cyprus","CYP",2007,13.3
"Cyprus","CYP",2008,13.65
"Cyprus","CYP",2009,13.07
"Cyprus","CYP",2010,14.17
"Cyprus","CYP",2011,15.93
"Cyprus","CYP",2012,17.8
"Cyprus","CYP",2013,18.16
"Cyprus","CYP",2014,18.29
"Cyprus","CYP",2015,26.87
"Cyprus","CYP",2016,30.59
"Cyprus","CYP",2017,32.93
"Cyprus","CYP",2018,41.78
"Cyprus","CYP",2019,37.42
"Cyprus","CYP",2020,33.14
"Cyprus","CYP",2021,39.51
"Czechia","CZE",2000,5.11
"Czechia","CZE",2001,6.14
"Czechia","CZE",2002,6.39
"Czechia","CZE",2003,6.93
"Czechia","CZE",2004,7.6
"Czechia","CZE",2005,8.54
"Czechia","CZE",2006,9.29
"Czechia","CZE",2007,5.12
"Czechia","CZE",2008,5.71
"Czechia","CZE",2009,4.18
"Czechia","CZE",2010,4.78
"Czechia","CZE",2011,17.42
"Czechia","CZE",2012,19.76
"Czechia","CZE",2013,22.58
"Czechia","CZE",2014,23.73
"Czechia","CZE",2015,28.07
"Czechia","CZE",2016,29.16
"Czechia","CZE",2017,33.25
"Czechia","CZE",2018,35.04
"Czechia","CZE",2019,36.6
"Czechia","CZE",2020,42.53
"Czechia","CZE",2021,38.95
"Denmark","DNK",2000,26.32
"Denmark","DNK",2001,30.84
"Denmark","DNK",2002,35.69
"Denmark","DNK",2003,33.39
"Denmark","DNK",2004,34.92
"Denmark","DNK",2005,41.87
"Denmark","DNK",2006,45.92
"Denmark","DNK",2007,49.97
"Denmark","DNK",2008,54.09
"Denmark","DNK",2009,57.5
"Denmark","DNK",2010,60.76
"Denmark","DNK",2011,60.04
"Denmark","DNK",2012,61.55
"Denmark","DNK",2013,65.98
"Denmark","DNK",2014,66.11
"Denmark","DNK",2015,72.44
"Denmark","DNK",2016,76.92
"Denmark","DNK",2017,81.15
"Denmark","DNK",2018,87.01
"Denmark","DNK",2019,84.18
"Denmark","DNK",2020,81.02
"Denmark","DNK",2021,90.48
"Estonia","EST",2000,3.09
"Estonia","EST",2001,4.78
"Estonia","EST",2002,4.31
"Estonia","EST",2003,4.04
"Estonia","EST",2004,5.11
"Estonia","EST",2005,4.94
"Estonia","EST",2006,8.14
"Estonia","EST",2007,8.86
"Estonia","EST",2008,6.49
"Estonia","EST",2009,6.85
"Estonia","EST",2010,8.41
"Estonia","EST",2011,6.71
"Estonia","EST",2012,7.61
"Estonia","EST",2013,9.29
"Estonia","EST",2014,9.06
"Estonia","EST",2015,10.87
"Estonia","EST",2016,10.41
"Estonia","EST",2017,12.71
"Estonia","EST",2018,13.95
"Estonia","EST",2019,15.47
"Estonia","EST",2020,18.52
"Estonia","EST",2021,18.48
"Finland","FIN",2000,59.47
"Finland","FIN",2001,61.43
"Finland","FIN",2002,63.87
"Finland","FIN",2003,64.83
"Finland","FIN",2004,65.79
"Finland","FIN",2005,67.57
"Finland","FIN",2006,71.41
"Finland","FIN",2007,74.01
"Finland","FIN",2008,76.9
"Finland","FIN",2009,80.41
"Finland","FIN",2010,83.91
"Finland","FIN",2011,86.43
"Finland","FIN",2012,91.24
"Finland","FIN",2013,94.63
"Finland","FIN",2014,98.82
"Finland","FIN",2015,102.24
"Finland","FIN",2016,105.71
"Finland","FIN",2017,108.73
"Finland","FIN",2018,112.68
"Finland","FIN",2019,115.16
"Finland","FIN",2020,119.1
"Finland","FIN",2021,123.83
"France","FRA",2000,37.96
"France","FRA",2001,40.53
"France","FRA",2002,42.85
"France","FRA",2003,48.35
"France","FRA",2004,41.79
"France","FRA",2005,46.75
"France","FRA",2006,47.05
"France","FRA",2007,49.5
"France","FRA",2008,53.18
"France","FRA",2009,54.8
"France","FRA",2010,56.55
"France","FRA",2011,61.2
"France","FRA",2012,69.8
"France","FRA",2013,69.98
"France","FRA",2014,67.69
"France","FRA",2015,71.45
"France","FRA",2016,72.42
"France","FRA",2017,77.88
"France","FRA",2018,76.46
"France","FRA",2019,74.66
"France","FRA",2020,70.46
"France","FRA",2021,65.68
"Georgia","GEO",2000,0.1
"Georgia","GEO",2001,0
"Georgia","GEO",2002,0.07
"Georgia","GEO",2003,0.05
"Georgia","GEO",2004,0.06
"Georgia","GEO",2005,0.08
"Georgia","GEO",2006,0.03
"Georgia","GEO",2007,0.08
"Georgia","GEO",2008,0.38
"Georgia","GEO",2009,0.13
"Georgia","GEO",2010,0.35
"Georgia","GEO",2011,2.64
"Georgia","GEO",2012,3.15
"Georgia","GEO",2013,2.68
"Georgia","GEO",2014,3.35
"Georgia","GEO",2015,2.9
"Georgia","GEO",2016,3.27
"Georgia","GEO",2017,2.54
"Georgia","GEO",2018,3.5
"Georgia","GEO",2019,4.13
"Georgia","GEO",2020,4.8
"Georgia","GEO",2021,6.76
"Germany","DEU",2000,7.79
"Germany","DEU",2001,8.21
"Germany","DEU",2002,8.73
"Germany","DEU",2003,9.44
"Germany","DEU",2004,10.46
"Germany","DEU",2005,12.37
"Germany","DEU",2006,16.51
"Germany","DEU",2007,17.53
"Germany","DEU",2008,21.67
"Germany","DEU",2009,26.66
"Germany","DEU",2010,29.64
"Germany","DEU",2011,32.51
"Germany","DEU",2012,37.3
"Germany","DEU",2013,44.75
"Germany","DEU",2014,44.82
"Germany","DEU",2015,55.33
"Germany","DEU",2016,57.77
"Germany","DEU",2017,66.21
"Germany","DEU",2018,74.75
"Germany","DEU",2019,76.22
"Germany","DEU",2020,78.68
"Germany","DEU",2021,79.01
"Greece","GRC",2000,5.67
"Greece","GRC",2001,6.27
"Greece","GRC",2002,5.81
"Greece","GRC",2003,5.92
"Greece","GRC",2004,6.45
"Greece","GRC",2005,5.7
"Greece","GRC",2006,5.05
"Greece","GRC",2007,5.35
"Greece","GRC",2008,4.36
"Greece","GRC",2009,4.76
"Greece","GRC",2010,4.64
"Greece","GRC",2011,4.68
"Greece","GRC",2012,6.96
"Greece","GRC",2013,5.77
"Greece","GRC",2014,12.29
"Greece","GRC",2015,17.95
"Greece","GRC",2016,20.34
"Greece","GRC",2017,24.93
"Greece","GRC",2018,24.94
"Greece","GRC",2019,28.38
"Greece","GRC",2020,38.43
"Greece","GRC",2021,45.3
"Hungary","HUN",2000,9.62
"Hungary","HUN",2001,9.42
"Hungary","HUN",2002,10.8
"Hungary","HUN",2003,10.79
"Hungary","HUN",2004,10.22
"Hungary","HUN",2005,7.92
"Hungary","HUN",2006,18.63
"Hungary","HUN",2007,20.82
"Hungary","HUN",2008,23.87
"Hungary","HUN",2009,25.08
"Hungary","HUN",2010,27.49
"Hungary","HUN",2011,27.31
"Hungary","HUN",2012,31.06
"Hungary","HUN",2013,32.26
"Hungary","HUN",2014,32.93
"Hungary","HUN",2015,38.47
"Hungary","HUN",2016,36.15
"Hungary","HUN",2017,41.56
"Hungary","HUN",2018,43.65
"Hungary","HUN",2019,47.49
"Hungary","HUN",2020,47.41
"Hungary","HUN",2021,43.03
"Iceland","ISL",2000,35.06
"Iceland","ISL",2001,36.44
"Iceland","ISL",2002,36.35
"Iceland","ISL",2003,38.61
"Iceland","ISL",2004,41.75
"Iceland","ISL",2005,45.52
"Iceland","ISL",2006,48.53
"Iceland","ISL",2007,50.13
"Iceland","ISL",2008,50.26
"Iceland","ISL",2009,50.43
"Iceland","ISL",2010,51.55
"Iceland","ISL",2011,54.9
"Iceland","ISL",2012,58
"Iceland","ISL",2013,62.18
"Iceland","ISL",2014,64.09
"Iceland","ISL",2015,68.11
"Iceland","ISL",2016,67.18
"Iceland","ISL",2017,72.29
"Iceland","ISL",2018,75.41
"Iceland","ISL",2019,78.41
"Iceland","ISL",2020,77.85
"Iceland","ISL",2021,78.39
"Ireland","IRL",2000,13.74
"Ireland","IRL",2001,13.67
"Ireland","IRL",2002,13.05
"Ireland","IRL",2003,13.68
"Ireland","IRL",2004,13.98
"Ireland","IRL",2005,13.55
"Ireland","IRL",2006,15.8
"Ireland","IRL",2007,19.25
"Ireland","IRL",2008,17.14
"Ireland","IRL",2009,21.57
"Ireland","IRL",2010,22.2
"Ireland","IRL",2011,27.97
"Ireland","IRL",2012,34.35
"Ireland","IRL",2013,40.14
"Ireland","IRL",2014,43.04
"Ireland","IRL",2015,48.3
"Ireland","IRL",2016,49.36
"Ireland","IRL",2017,49.17
"Ireland","IRL",2018,52.57
"Ireland","IRL",2019,52.84
"Ireland","IRL",2020,48.54
"Ireland","IRL",2021,49.8
"Italy","ITA",2000,24.33
"Italy","ITA",2001,26.11
"Italy","ITA",2002,26.95
"Italy","ITA",2003,30.44
"Italy","ITA",2004,25.35
"Italy","ITA",2005,28.11
"Italy","ITA",2006,29.03
"Italy","ITA",2007,31.57
"Italy","ITA",2008,40.24
"Italy","ITA",2009,41.86
"Italy","ITA",2010,41.62
"Italy","ITA",2011,45.46
"Italy","ITA",2012,48.69
"Italy","ITA",2013,47.4
"Italy","ITA",2014,48.09
"Italy","ITA",2015,57.35
"Italy","ITA",2016,56.38
"Italy","ITA",2017,63.9
"Italy","ITA",2018,63.09
"Italy","ITA",2019,65.94
"Italy","ITA",2020,70.36
"Italy","ITA",2021,69.6
"Kazakhstan","KAZ",2000,9.16
"Kazakhstan","KAZ",2001,9.94
"Kazakhstan","KAZ",2002,9.94
"Kazakhstan","KAZ",2003,10.01
"Kazakhstan","KAZ",2004,9.57
"Kazakhstan","KAZ",2005,9.67
"Kazakhstan","KAZ",2006,9.46
"Kazakhstan","KAZ",2007,9.47
"Kazakhstan","KAZ",2008,9.59
"Kazakhstan","KAZ",2009,9.38
"Kazakhstan","KAZ",2010,9.8
"Kazakhstan","KAZ",2011,9.7
"Kazakhstan","KAZ",2012,9.44
"Kazakhstan","KAZ",2013,9.65
"Kazakhstan","KAZ",2014,9.76
"Kazakhstan","KAZ",2015,9.82
"Kazakhstan","KAZ",2016,10.04
"Kazakhstan","KAZ",2017,10.08
"Kazakhstan","KAZ",2018,10.21
"Kazakhstan","KAZ",2019,10.41
"Kazakhstan","KAZ",2020,10.16
"Kazakhstan","KAZ",2021,10.19
"Latvia","LVA",2000,1.65
"Latvia","LVA",2001,2.76
"Latvia","LVA",2002,3.78
"Latvia","LVA",2003,4.03
"Latvia","LVA",2004,3.5
"Latvia","LVA",2005,5.42
"Latvia","LVA",2006,5.9
"Latvia","LVA",2007,10.03
"Latvia","LVA",2008,8.03
"Latvia","LVA",2009,9.05
"Latvia","LVA",2010,8.53
"Latvia","LVA",2011,8.36
"Latvia","LVA",2012,8.94
"Latvia","LVA",2013,11.95
"Latvia","LVA",2014,11.93
"Latvia","LVA",2015,13.51
"Latvia","LVA",2016,21.11
"Latvia","LVA",2017,24.4
"Latvia","LVA",2018,29.68
"Latvia","LVA",2019,30.04
"Latvia","LVA",2020,33.55
"Latvia","LVA",2021,34.55
"Lithuania","LTU",2000,2.09
"Lithuania","LTU",2001,1.76
"Lithuania","LTU",2002,1.64
"Lithuania","LTU",2003,1.83
"Lithuania","LTU",2004,2.31
"Lithuania","LTU",2005,2.8
"Lithuania","LTU",2006,3.39
"Lithuania","LTU",2007,4.06
"Lithuania","LTU",2008,5.19
"Lithuania","LTU",2009,4.41
"Lithuania","LTU",2010,6.4
"Lithuania","LTU",2011,6.04
"Lithuania","LTU",2012,6.91
"Lithuania","LTU",2013,9.2
"Lithuania","LTU",2014,9.07
"Lithuania","LTU",2015,10.37
"Lithuania","LTU",2016,11.63
"Lithuania","LTU",2017,16.94
"Lithuania","LTU",2018,18.46
"Lithuania","LTU",2019,19.69
"Lithuania","LTU",2020,23.64
"Lithuania","LTU",2021,27.19
"Luxembourg","LUX",2000,22.18
"Luxembourg","LUX",2001,21.72
"Luxembourg","LUX",2002,22.31
"Luxembourg","LUX",2003,21.34
"Luxembourg","LUX",2004,24.01
"Luxembourg","LUX",2005,23.52
"Luxembourg","LUX",2006,24.01
"Luxembourg","LUX",2007,24.55
"Luxembourg","LUX",2008,22.81
"Luxembourg","LUX",2009,23.47
"Luxembourg","LUX",2010,25.25
"Luxembourg","LUX",2011,32.57
"Luxembourg","LUX",2012,37.93
"Luxembourg","LUX",2013,40.81
"Luxembourg","LUX",2014,42.58
"Luxembourg","LUX",2015,43.32
"Luxembourg","LUX",2016,46.15
"Luxembourg","LUX",2017,48.33
"Luxembourg","LUX",2018,50.41
"Luxembourg","LUX",2019,55.03
"Luxembourg","LUX",2020,50.65
"Luxembourg","LUX",2021,56.23
"Malta","MLT",2000,5.94
"Malta","MLT",2001,5.66
"Malta","MLT",2002,8.58
"Malta","MLT",2003,12.98
"Malta","MLT",2004,17.74
"Malta","MLT",2005,20.75
"Malta","MLT",2006,23.56
"Malta","MLT",2007,26.92
"Malta","MLT",2008,31.27
"Malta","MLT",2009,34.3
"Malta","MLT",2010,35.79
"Malta","MLT",2011,30.13
"Malta","MLT",2012,29.04
"Malta","MLT",2013,29.34
"Malta","MLT",2014,34.15
"Malta","MLT",2015,36.95
"Malta","MLT",2016,40.58
"Malta","MLT",2017,48.81
"Malta","MLT",2018,52.6
"Malta","MLT",2019,61.95
"Malta","MLT",2020,62.89
"Malta","MLT",2021,71.87
"Moldova","MDA",2000,2.29
"Moldova","MDA",2001,1.96
"Moldova","MDA",2002,2.3
"Moldova","MDA",2003,2.53
"Moldova","MDA",2004,4.38
"Moldova","MDA",2005,4.35
"Moldova","MDA",2006,4.24
"Moldova","MDA",2007,0.21
"Moldova","MDA",2008,0.16
"Moldova","MDA",2009,0.2
"Moldova","MDA",2010,0.32
"Moldova","MDA",2011,0.43
"Moldova","MDA",2012,0.51
"Moldova","MDA",2013,0.12
"Moldova","MDA",2014,0.09
"Moldova","MDA",2015,0.23
"Moldova","MDA",2016,0.14
"Moldova","MDA",2017,0.25
"Moldova","MDA",2018,0.22
"Moldova","MDA",2019,0.19
"Moldova","MDA",2020,0.2
"Moldova","MDA",2021,0.18
"Monaco","MCO",2000,92.37
"Monaco","MCO",2001,95.7
"Monaco","MCO",2002,97.63
"Monaco","MCO",2003,99.55
"Monaco","MCO",2004,102.46
"Monaco","MCO",2005,105.79
"Monaco","MCO",2006,108.4
"Monaco","MCO",2007,110.2
"Monaco","MCO",2008,115.87
"Monaco","MCO",2009,130.4
"Monaco","MCO",2010,151.03
"Monaco","MCO",2011,174.69
"Monaco","MCO",2012,203.77
"Monaco","MCO",2013,233.93
"Monaco","MCO",2014,263.42
"Monaco","MCO",2015,292.87
"Monaco","MCO",2016,308.44
"Monaco","MCO",2017,309.14
"Monaco","MCO",2018,310.59
"Monaco","MCO",2019,313.14
"Monaco","MCO",2020,311.55
"Monaco","MCO",2021,314.53
"Montenegro","MNE",2000,24.28
"Montenegro","MNE",2001,26.9
"Montenegro","MNE",2002,28.39
"Montenegro","MNE",2003,28.33
"Montenegro","MNE",2004,28.79
"Montenegro","MNE",2005,30.44
"Montenegro","MNE",2006,29.93
"Montenegro","MNE",2007,30.13
"Montenegro","MNE",2008,28.98
"Montenegro","MNE",2009,25.5
"Montenegro","MNE",2010,23.65
"Montenegro","MNE",2011,23.01
"Montenegro","MNE",2012,22.69
"Montenegro","MNE",2013,22.39
"Montenegro","MNE",2014,21.71
"Montenegro","MNE",2015,21.04
"Montenegro","MNE",2016,20.47
"Montenegro","MNE",2017,20.34
"Montenegro","MNE",2018,20.59
"Montenegro","MNE",2019,22.31
"Montenegro","MNE",2020,23.6
"Montenegro","MNE",2021,19.79
"Netherlands","NLD",2000,36.33
"Netherlands","NLD",2001,39.47
"Netherlands","NLD",2002,45.94
"Netherlands","NLD",2003,46.83
"Netherlands","NLD",2004,45.95
"Netherlands","NLD",2005,45.73
"Netherlands","NLD",2006,50
"Netherlands","NLD",2007,47
"Netherlands","NLD",2008,52.35
"Netherlands","NLD",2009,52.62
"Netherlands","NLD",2010,57.25
"Netherlands","NLD",2011,57.81
"Netherlands","NLD",2012,65.64
"Netherlands","NLD",2013,80.18
"Netherlands","NLD",2014,79.71
"Netherlands","NLD",2015,88.23
"Netherlands","NLD",2016,94.77
"Netherlands","NLD",2017,97.66
"Netherlands","NLD",2018,96.02
"Netherlands","NLD",2019,89.03
"Netherlands","NLD",2020,85.6
"Netherlands","NLD",2021,89.21
"North Macedonia","MKD",2000,0.9
"North Macedonia","MKD",2001,0.99
"North Macedonia","MKD",2002,1.01
"North Macedonia","MKD",2003,1.1
"North Macedonia","MKD",2004,1.17
"North Macedonia","MKD",2005,1.11
"North Macedonia","MKD",2006,0.84
"North Macedonia","MKD",2007,1.03
"North Macedonia","MKD",2008,0.91
"North Macedonia","MKD",2009,0.62
"North Macedonia","MKD",2010,1.36
"North Macedonia","MKD",2011,1.83
"North Macedonia","MKD",2012,1.97
"North Macedonia","MKD",2013,3.13
"North Macedonia","MKD",2014,6.47
"North Macedonia","MKD",2015,6.9
"North Macedonia","MKD",2016,13.29
"North Macedonia","MKD",2017,16.4
"North Macedonia","MKD",2018,16.27
"North Macedonia","MKD",2019,32.31
"North Macedonia","MKD",2020,39.2
"North Macedonia","MKD",2021,29.34
"Norway","NOR",2000,22.57
"Norway","NOR",2001,24.53
"Norway","NOR",2002,27.34
"Norway","NOR",2003,34.65
"Norway","NOR",2004,36.52
"Norway","NOR",2005,41.99
"Norway","NOR",2006,43.18
"Norway","NOR",2007,45.08
"Norway","NOR",2008,49.37
"Norway","NOR",2009,50.76
"Norway","NOR",2010,53.72
"Norway","NOR",2011,55.1
"Norway","NOR",2012,60.34
"Norway","NOR",2013,59.05
"Norway","NOR",2014,64.73
"Norway","NOR",2015,67.21
"Norway","NOR",2016,71.08
"Norway","NOR",2017,78.8
"Norway","NOR",2018,81.87
"Norway","NOR",2019,83.44
"Norway","NOR",2020,83.46
"Norway","NOR",2021,86.26
"Poland","POL",2000,3.45
"Poland","POL",2001,3.82
"Poland","POL",2002,3.97
"Poland","POL",2003,4.16
"Poland","POL",2004,4.61
"Poland","POL",2005,5.18
"Poland","POL",2006,5.11
"Poland","POL",2007,4.92
"Poland","POL",2008,5.25
"Poland","POL",2009,5.91
"Poland","POL",2010,6.23
"Poland","POL",2011,6.55
"Poland","POL",2012,6.75
"Poland","POL",2013,7.31
"Poland","POL",2014,6.39
"Poland","POL",2015,6.49
"Poland","POL",2016,7.42
"Poland","POL",2017,8.98
"Poland","POL",2018,8.82
"Poland","POL",2019,8.68
"Poland","POL",2020,10.59
"Poland","POL",2021,14.12
"Portugal","PRT",2000,10.04
"Portugal","PRT",2001,12.41
"Portugal","PRT",2002,15.49
"Portugal","PRT",2003,18.88
"Portugal","PRT",2004,14.37
"Portugal","PRT",2005,16.27
"Portugal","PRT",2006,16.01
"Portugal","PRT",2007,16.6
"Portugal","PRT",2008,17
"Portugal","PRT",2009,17.89
"Portugal","PRT",2010,18.78
"Portugal","PRT",2011,18.27
"Portugal","PRT",2012,19.4
"Portugal","PRT",2013,41.68
"Portugal","PRT",2014,45.42
"Portugal","PRT",2015,53.17
"Portugal","PRT",2016,56.94
"Portugal","PRT",2017,59.75
"Portugal","PRT",2018,69.63
"Portugal","PRT",2019,77.06
"Portugal","PRT",2020,82.3
"Portugal","PRT",2021,82.46
"Romania","ROU",2000,1.35
"Romania","ROU",2001,0.79
"Romania","ROU",2002,0.84
"Romania","ROU",2003,1.43
"Romania","ROU",2004,1.76
"Romania","ROU",2005,2.01
"Romania","ROU",2006,2.42
"Romania","ROU",2007,3.04
"Romania","ROU",2008,3.47
"Romania","ROU",2009,3.71
"Romania","ROU",2010,5.79
"Romania","ROU",2011,6.92
"Romania","ROU",2012,7.83
"Romania","ROU",2013,8.2
"Romania","ROU",2014,9.54
